,data,replication,fold,trainRuntime,trainAUC,testAUC,trainAccuracy,TestAccuracy
0,CorelAntique,4,8,491.848454202991,0.8617543859649123,0.8621052631578948,0.95,0.95
0,CorelAntique,4,9,494.72284410498105,0.8569330734243016,0.8368421052631578,0.95,0.95
0,CorelAntique,4,10,493.0616533670109,0.8592917478882391,0.8752631578947369,0.95,0.95
0,CorelAntique,5,1,490.96605434495723,0.8666731643924627,0.7747368421052632,0.95,0.95
0,CorelAntique,5,2,492.3117966110003,0.8637491877842756,0.861578947368421,0.95,0.95
0,CorelAntique,5,3,492.8880187289906,0.8629564652371671,0.8289473684210527,0.95,0.95
0,CorelAntique,5,4,492.10442332801176,0.8577712800519818,0.8568421052631578,0.95,0.95
0,CorelAntique,5,5,492.45130512397736,0.8594022092267706,0.918421052631579,0.95,0.95
0,CorelAntique,5,6,496.8353419220075,0.8596621182586095,0.8736842105263158,0.95,0.95
0,CorelAntique,5,7,500.601675353013,0.8571539961013644,0.8673684210526316,0.95,0.95
0,CorelAntique,5,8,497.90129611396696,0.8576868096166342,0.8642105263157895,0.95,0.95
0,CorelAntique,5,9,493.85309752996545,0.8637231968810916,0.8247368421052632,0.95,0.95
0,CorelAntique,5,10,491.92036082799314,0.8566471734892788,0.8957894736842106,0.95,0.95
0,CorelAntique,Average,Average,493.3735441515548,0.8603975308641977,0.8570315789473684,0.9500000000000006,0.9500000000000006
0,CorelBattleships,1,1,493.4800618509762,0.8707927225471085,0.7989473684210526,0.95,0.95
0,CorelBattleships,1,2,498.78051037195837,0.8823586744639377,0.8794736842105264,0.95,0.95
0,CorelBattleships,1,3,502.2035127370036,0.8740415854450942,0.8705263157894738,0.95,0.95
0,CorelBattleships,1,4,499.9603717789869,0.8786484730344379,0.8689473684210526,0.95,0.95
0,CorelBattleships,1,5,500.4014364950126,0.8841325536062377,0.8894736842105264,0.95,0.95
0,CorelBattleships,1,6,500.0998219049652,0.8810656270305393,0.9431578947368421,0.95,0.95
0,CorelBattleships,1,7,500.64116863999516,0.8704938271604938,0.8063157894736842,0.95,0.95
0,CorelBattleships,1,8,499.9873333069845,0.8789018843404808,0.8957894736842105,0.95,0.95
0,CorelBattleships,1,9,500.9249957749853,0.8693372319688111,0.9231578947368422,0.95,0.95
0,CorelBattleships,1,10,501.36943382397294,0.8773164392462638,0.781578947368421,0.95,0.95
0,CorelBattleships,2,1,501.2616986230132,0.8687979207277453,0.888421052631579,0.95,0.95
0,CorelBattleships,2,2,498.6097414609976,0.876374269005848,0.903157894736842,0.95,0.95
0,CorelBattleships,2,3,497.95995440799743,0.8767446393762184,0.8352631578947368,0.95,0.95
0,CorelBattleships,2,4,499.4870895600179,0.8724561403508773,0.828421052631579,0.95,0.95
0,CorelBattleships,2,5,499.9140382359619,0.8843729694606888,0.8389473684210527,0.95,0.95
0,CorelBattleships,2,6,492.96632784296526,0.876829109811566,0.9257894736842106,0.95,0.95
0,CorelBattleships,2,7,493.29091350903036,0.8824301494476934,0.8889473684210527,0.95,0.95
0,CorelBattleships,2,8,492.329286822991,0.8772644574398961,0.7936842105263159,0.95,0.95
0,CorelBattleships,2,9,491.9716720979777,0.8784340480831708,0.8578947368421053,0.95,0.95
0,CorelBattleships,2,10,492.26229506905656,0.8797530864197531,0.9115789473684212,0.95,0.95
0,CorelBattleships,3,1,491.84959652699763,0.8736062378167642,0.8852631578947368,0.95,0.95
0,CorelBattleships,3,2,493.00534593098564,0.8818323586744641,0.8942105263157895,0.95,0.95
0,CorelBattleships,3,3,492.6155528150266,0.8894801819363223,0.7573684210526316,0.95,0.95
0,CorelBattleships,3,4,493.7561687310226,0.8876738141650423,0.8694736842105264,0.95,0.95
0,CorelBattleships,3,5,493.61298237601295,0.8807277452891487,0.9094736842105263,0.95,0.95
0,CorelBattleships,3,6,493.1951105520129,0.8650162443144899,0.8568421052631578,0.95,0.95
0,CorelBattleships,3,7,492.14937959995586,0.8763807667316439,0.8399999999999999,0.95,0.95
0,CorelBattleships,3,8,493.5181823390303,0.8696101364522417,0.8921052631578947,0.95,0.95
0,CorelBattleships,3,9,492.1857065630029,0.8764587394411956,0.8821052631578947,0.95,0.95
0,CorelBattleships,3,10,493.149984424992,0.874307992202729,0.9273684210526316,0.95,0.95
0,CorelBattleships,4,1,493.1286141110468,0.8793762183235868,0.8652631578947368,0.95,0.95
0,CorelBattleships,4,2,490.4045793529949,0.8779402209226771,0.8157894736842106,0.95,0.95
0,CorelBattleships,4,3,491.4289187590475,0.8789473684210526,0.8905263157894737,0.95,0.95
0,CorelBattleships,4,4,493.3423150150338,0.8771085120207927,0.9294736842105262,0.95,0.95
0,CorelBattleships,4,5,492.91827816097066,0.8740545808966861,0.921578947368421,0.95,0.95
0,CorelBattleships,4,6,490.6230537679512,0.8873359324236517,0.7526315789473684,0.95,0.95
0,CorelBattleships,4,7,491.7166354949586,0.8650942170240415,0.8757894736842105,0.95,0.95
0,CorelBattleships,4,8,492.4545186610194,0.8742430149447693,0.7789473684210526,0.95,0.95
0,CorelBattleships,4,9,493.0775098510203,0.8716764132553606,0.908421052631579,0.95,0.95
0,CorelBattleships,4,10,492.7345341379987,0.8750812215724496,0.8894736842105263,0.95,0.95
0,CorelBattleships,5,1,491.02750992099755,0.8711825860948668,0.8226315789473685,0.95,0.95
