,data,replication,fold,trainRuntime,trainAUC,testAUC,trainAccuracy,TestAccuracy
0,CorelBattleships,1,6,507.12741032699705,0.9387784275503573,0.9489473684210527,0.95,0.95
0,CorelBattleships,1,7,505.4051436709997,0.9472514619883041,0.8678947368421053,0.95,0.95
0,CorelBattleships,1,8,505.8830859790032,0.9385769980506823,0.9515789473684211,0.95,0.95
0,CorelBattleships,1,9,507.00127809600235,0.9358609486679662,0.9821052631578947,0.95,0.95
0,CorelBattleships,1,10,506.98926874800236,0.9398440545808967,0.9305263157894736,0.95,0.95
0,CorelBattleships,2,1,508.27916788299626,0.9384470435347628,0.9278947368421052,0.95,0.95
0,CorelBattleships,2,2,507.1878504109991,0.9365042235217674,0.9573684210526316,0.95,0.95
0,CorelBattleships,2,3,506.27727518499887,0.9373489278752436,0.9326315789473684,0.95,0.95
0,CorelBattleships,2,4,507.4756132409966,0.9405263157894737,0.913157894736842,0.95,0.95
0,CorelBattleships,2,5,507.5614515249981,0.9429824561403508,0.8926315789473683,0.95,0.95
0,CorelBattleships,2,6,506.48057923599845,0.9362768031189084,0.9763157894736842,0.95,0.95
0,CorelBattleships,2,7,505.66599023099843,0.9373944119558155,0.9521052631578948,0.95,0.95
0,CorelBattleships,2,8,505.12577520299965,0.9426250812215725,0.911578947368421,0.95,0.95
0,CorelBattleships,2,9,508.72590063799726,0.942514619883041,0.9210526315789472,0.95,0.95
0,CorelBattleships,2,10,508.17687527300586,0.9399610136452241,0.9573684210526315,0.95,0.95
0,CorelBattleships,3,1,505.7852313629992,0.938180636777128,0.9400000000000001,0.95,0.95
0,CorelBattleships,3,2,507.087397700001,0.9376998050682261,0.9515789473684211,0.95,0.95
0,CorelBattleships,3,3,507.87867703800293,0.9430279402209226,0.8821052631578948,0.95,0.95
0,CorelBattleships,3,4,507.52667783200013,0.9400519818063677,0.9331578947368422,0.95,0.95
0,CorelBattleships,3,5,505.5907787169999,0.9405588044184535,0.9442105263157895,0.95,0.95
0,CorelBattleships,3,6,512.2354438900002,0.9429239766081872,0.8994736842105262,0.95,0.95
0,CorelBattleships,3,7,515.2439393839959,0.9427810266406758,0.9021052631578947,0.95,0.95
0,CorelBattleships,3,8,515.5991778280004,0.9349772579597141,0.9510526315789474,0.95,0.95
0,CorelBattleships,3,9,515.2719893169997,0.9396491228070175,0.9589473684210527,0.95,0.95
0,CorelBattleships,3,10,516.1697545349962,0.9357699805068226,0.9878947368421054,0.95,0.95
0,CorelBattleships,4,1,515.9993300830029,0.9404223521767381,0.9247368421052632,0.95,0.95
0,CorelBattleships,4,2,517.1873861060012,0.9358414554905783,0.9678947368421053,0.95,0.95
0,CorelBattleships,4,3,517.2390921190017,0.9382910981156596,0.96,0.95,0.95
0,CorelBattleships,4,4,516.905007759,0.9382781026640675,0.9642105263157895,0.95,0.95
0,CorelBattleships,4,5,515.3867058519972,0.9426510721247563,0.9273684210526316,0.95,0.95
0,CorelBattleships,4,6,516.1715349299993,0.9455295646523716,0.8621052631578947,0.95,0.95
0,CorelBattleships,4,7,514.0056845210056,0.9384730344379467,0.9257894736842106,0.95,0.95
0,CorelBattleships,4,8,519.5255916599999,0.9421312540610787,0.9010526315789475,0.95,0.95
0,CorelBattleships,4,9,517.4846875790026,0.9357504873294348,0.9742105263157895,0.95,0.95
0,CorelBattleships,4,10,515.7272399139983,0.9378882391163093,0.9321052631578948,0.95,0.95
0,CorelBattleships,5,1,516.895000343,0.9399090318388564,0.943157894736842,0.95,0.95
0,CorelBattleships,5,2,510.5049200390058,0.9382391163092917,0.9321052631578948,0.95,0.95
0,CorelBattleships,5,3,510.43696363599884,0.942040285899935,0.9073684210526316,0.95,0.95
0,CorelBattleships,5,4,509.4141473280033,0.9357115009746589,0.9652631578947368,0.95,0.95
0,CorelBattleships,5,5,507.050535194001,0.9339571150097465,0.9778947368421053,0.95,0.95
0,CorelBattleships,5,6,509.2299915219992,0.9386419753086419,0.9689473684210526,0.95,0.95
0,CorelBattleships,5,7,508.13174802900176,0.9359714100064978,0.9526315789473684,0.95,0.95
0,CorelBattleships,5,8,507.0446065070064,0.9399805068226121,0.9342105263157895,0.95,0.95
0,CorelBattleships,5,9,507.0431200050007,0.9462897985705003,0.8873684210526316,0.95,0.95
0,CorelBattleships,5,10,508.61160203300096,0.9450617283950618,0.8836842105263157,0.95,0.95
0,CorelBattleships,Average,Average,510.4232368638605,0.9395438596491232,0.9347263157894738,0.9500000000000006,0.9500000000000006
0,CorelBeach,1,1,506.45080980999774,0.977277452891488,0.9894736842105263,0.95,0.95
0,CorelBeach,1,2,507.4511123620032,0.9784665367121508,0.988421052631579,0.95,0.95
0,CorelBeach,1,3,506.86105776000477,0.9803768680961663,0.9578947368421052,0.95,0.955
0,CorelBeach,1,4,508.5901537769969,0.9766081871345029,0.9910526315789474,0.9505555555555556,0.95
0,CorelBeach,1,5,508.3033787810127,0.981351526965562,0.9242105263157896,0.9505555555555556,0.95
0,CorelBeach,1,6,509.6575380389986,0.9776543209876543,0.9831578947368421,0.95,0.95
0,CorelBeach,1,7,507.4355617819965,0.979070825211176,0.9836842105263157,0.95,0.95
0,CorelBeach,1,8,506.99852187899523,0.9782716049382717,0.986842105263158,0.95,0.95
0,CorelBeach,1,9,508.5444163989887,0.9779077322936972,0.9652631578947368,0.95,0.95
0,CorelBeach,1,10,507.96062153099047,0.9773164392462638,0.9836842105263157,0.9505555555555556,0.95
0,CorelBeach,2,1,509.02099736100354,0.9769395711500974,0.9905263157894737,0.95,0.95
0,CorelBeach,2,2,510.28899650700623,0.9764132553606238,0.9921052631578947,0.9505555555555556,0.95
0,CorelBeach,2,3,509.14409764300217,0.9791487979207277,0.9621052631578948,0.9505555555555556,0.95
0,CorelBeach,2,4,508.52748966700165,0.9793762183235868,0.9821052631578947,0.95,0.95
0,CorelBeach,2,5,508.47915838500194,0.9784665367121508,0.9773684210526316,0.9505555555555556,0.95
0,CorelBeach,2,6,508.4470643609966,0.9788304093567252,0.9763157894736842,0.95,0.95
0,CorelBeach,2,7,508.03318941401085,0.976601689408707,0.9973684210526317,0.95,0.95
0,CorelBeach,2,8,506.4859111979895,0.9785769980506822,0.9468421052631579,0.9505555555555556,0.95
0,CorelBeach,2,9,509.11565687799884,0.9780571799870046,0.9821052631578948,0.95,0.955
0,CorelBeach,2,10,507.9871788169985,0.9812215724496426,0.9500000000000001,0.9505555555555556,0.95
0,CorelBeach,3,1,508.49477489500714,0.9794996751137102,0.9521052631578948,0.95,0.95
0,CorelBeach,3,2,511.19239093200304,0.9781611435997402,0.9778947368421054,0.9505555555555556,0.95
0,CorelBeach,3,3,507.8068992010085,0.978421052631579,0.9931578947368421,0.95,0.95
0,CorelBeach,3,4,508.3325618200033,0.9783105912930474,0.9847368421052632,0.95,0.95
