,data,replication,fold,trainRuntime,trainAUC,testAUC,Accuracy
0,Musk2,1,1,50.77028176095337,0.9137755102040817,0.8571428571428572,0.6363636363636364
0,Musk2,1,2,48.515678217983805,0.9275510204081633,0.75,0.6363636363636364
0,Musk2,1,3,82.43446048197802,0.9117794486215539,0.9583333333333334,0.6
0,Musk2,1,4,65.73312959098257,0.937844611528822,0.7083333333333333,0.6
0,Musk2,1,5,107.32017139100935,0.9132832080200501,0.9166666666666667,0.6
0,Musk2,1,6,116.00242218899075,0.9157894736842105,1.0,0.6
0,Musk2,1,7,59.466685364954174,0.9453634085213033,0.6666666666666667,0.6
0,Musk2,1,8,53.73969367099926,0.9483709273182959,0.625,0.6
0,Musk2,1,9,88.4954423130257,0.9182957393483709,0.9583333333333334,0.6
0,Musk2,1,10,76.48640782688744,0.9017857142857143,0.8095238095238095,0.7
0,Musk2,2,1,77.13906600605696,0.9336734693877551,0.8571428571428572,0.6363636363636364
0,Musk2,2,2,58.777534215012565,0.9025510204081633,0.9642857142857143,0.6363636363636364
0,Musk2,2,3,86.3161638439633,0.9182957393483709,1.0,0.6
0,Musk2,2,4,46.916313971043564,0.9333333333333333,0.7916666666666667,0.6
0,Musk2,2,5,49.8955608200049,0.9353383458646616,0.7916666666666667,0.6
0,Musk2,2,6,43.880340678966604,0.9208020050125314,0.625,0.6
0,Musk2,2,7,34.48418540507555,0.9288220551378447,0.7916666666666667,0.6
0,Musk2,2,8,58.55891745199915,0.9323308270676691,0.875,0.6
0,Musk2,2,9,74.73314593802206,0.9278195488721804,0.7916666666666667,0.6
0,Musk2,2,10,110.11137085501105,0.9141865079365079,0.8571428571428571,0.7
0,Musk2,3,1,26.88015278801322,0.9346938775510204,0.7142857142857143,0.6363636363636364
0,Musk2,3,2,67.01327550702263,0.9198979591836735,0.5,0.6363636363636364
0,Musk2,3,3,44.49471545999404,0.9233082706766917,0.625,0.6
0,Musk2,3,4,111.94433846801985,0.9223057644110275,0.875,0.6
0,Musk2,3,5,71.71163166197948,0.9298245614035088,0.9166666666666667,0.6
0,Musk2,3,6,63.521620746003464,0.9117794486215538,0.7916666666666667,0.6
0,Musk2,3,7,79.20360148500185,0.9157894736842105,1.0,0.6
0,Musk2,3,8,53.369012570008636,0.918796992481203,0.9166666666666667,0.6
0,Musk2,3,9,72.18277198809665,0.9263157894736842,0.9166666666666667,0.6
0,Musk2,3,10,137.48702817899175,0.9250992063492063,0.9523809523809524,0.7
0,Musk2,4,1,48.926206658012234,0.9183673469387754,0.8571428571428572,0.6363636363636364
0,Musk2,4,2,119.05815792200156,0.9295918367346938,0.6428571428571428,0.6363636363636364
0,Musk2,4,3,44.36968744697515,0.9102756892230576,0.9166666666666667,0.6
0,Musk2,4,4,29.65581479703542,0.9197994987468672,0.8333333333333334,0.6
0,Musk2,4,5,73.31744255498052,0.924812030075188,0.9166666666666667,0.6
0,Musk2,4,6,66.43760805891361,0.9177944862155388,1.0,0.6
0,Musk2,4,7,47.21319025103003,0.9037593984962407,0.875,0.6
0,Musk2,4,8,91.5857070729835,0.931829573934837,0.5833333333333334,0.6
0,Musk2,4,9,39.39847334299702,0.9263157894736842,0.8333333333333334,0.6
0,Musk2,4,10,84.05208727205172,0.9221230158730159,1.0,0.7
0,Musk2,5,1,55.19908731000032,0.9178571428571429,0.7142857142857142,0.6363636363636364
0,Musk2,5,2,80.53664529602975,0.9137755102040817,0.8214285714285714,0.6363636363636364
0,Musk2,5,3,66.33183894096874,0.9283208020050125,1.0,0.6
0,Musk2,5,4,57.49801367393229,0.9278195488721804,0.9166666666666667,0.6
0,Musk2,5,5,39.29609739605803,0.9208020050125314,0.7916666666666667,0.6
0,Musk2,5,6,82.53475144202821,0.9177944862155388,1.0,0.6
0,Musk2,5,7,118.11084638396278,0.9378446115288219,0.75,0.6
0,Musk2,5,8,73.79588567698374,0.9092731829573935,1.0,0.6
0,Musk2,5,9,40.600767209078185,0.9172932330827068,0.7083333333333334,0.6
0,Musk2,5,10,33.009938915027305,0.9320436507936507,0.5714285714285714,0.7
0,Musk2,Average,Average,68.17026736934204,0.9227259219477267,0.8307142857142857,0.6172727272727276
0,CorelAntique,1,1,453.2868967979448,0.7827095516569201,0.7652631578947369,0.95
0,CorelAntique,1,2,454.6226350379875,0.800883690708252,0.781578947368421,0.95
0,CorelAntique,1,3,195.3041977189714,0.8008576998050682,0.7226315789473684,0.95
0,CorelAntique,1,4,312.89492352399975,0.7941520467836257,0.7815789473684212,0.95
0,CorelAntique,1,5,438.0726847569458,0.3230864197530864,0.39526315789473687,0.95
0,CorelAntique,1,6,433.58258349995594,0.7804028589993502,0.8405263157894737,0.95
0,CorelAntique,1,7,433.6613260700833,0.7723261858349577,0.78,0.95
0,CorelAntique,1,8,424.9921840799507,0.7814100064977259,0.841578947368421,0.95
0,CorelAntique,1,9,460.07075240509585,0.7961923326835607,0.8089473684210526,0.95
0,CorelAntique,1,10,336.01522285002284,0.7897400909681611,0.8042105263157895,0.95
0,CorelAntique,2,1,188.89527592505328,0.7887849252761533,0.688421052631579,0.95
