,data,replication,fold,trainRuntime,trainAUC,testAUC,Accuracy
0,Musk2,1,1,269.68203543208074,0.6602040816326531,0.5714285714285714,0.5454545454545454
0,Musk2,1,2,69.59358002303634,0.7454081632653061,0.7857142857142857,0.7272727272727273
0,Musk2,1,3,399.7049959239084,0.7273182957393484,0.9583333333333334,0.6
0,Musk2,1,4,500.6581914079143,0.7899749373433583,0.7083333333333334,0.7
0,Musk2,1,5,101.37654033990111,0.7433583959899749,0.9583333333333334,0.8
0,Musk2,1,6,115.45670528803021,0.7649122807017544,0.9583333333333334,0.8
0,Musk2,1,7,262.63462806795724,0.7759398496240602,0.20833333333333331,0.5
0,Musk2,1,8,73.2649313909933,0.8466165413533835,0.5416666666666666,0.4
0,Musk2,1,9,291.32854601496365,0.9649122807017545,0.75,0.6
0,Musk2,1,10,135.72122442896944,0.7663690476190477,0.9047619047619049,0.8
0,Musk2,2,1,453.2914002749603,0.7836734693877551,0.5714285714285714,0.7272727272727273
0,Musk2,2,2,398.87741517997347,0.6683673469387754,0.5714285714285714,0.5454545454545454
0,Musk2,2,3,141.54462652490474,0.7739348370927318,0.9166666666666667,0.7
0,Musk2,2,4,63.74211348895915,0.7794486215538847,0.875,0.7
0,Musk2,2,5,282.0199072380783,0.9548872180451128,0.8333333333333334,0.6
0,Musk2,2,6,97.10774557304103,0.8020050125313283,0.4166666666666667,0.6
0,Musk2,2,7,307.54548404808156,0.7203007518796993,0.7083333333333333,0.6
0,Musk2,2,8,113.80688770895358,0.7914786967418547,0.7083333333333334,0.7
0,Musk2,2,9,516.475979253999,0.9518796992481203,0.75,0.6
0,Musk2,2,10,140.08774166903459,0.7271825396825397,1.0,0.8
0,Musk2,3,1,148.14141021098476,0.7448979591836735,0.5,0.6363636363636364
0,Musk2,3,2,276.6089542310219,0.938265306122449,0.6071428571428572,0.6363636363636364
0,Musk2,3,3,120.98475125199184,0.7729323308270677,0.8333333333333334,0.8
0,Musk2,3,4,333.88619740109425,0.731829573934837,0.6666666666666667,0.6
0,Musk2,3,5,434.18247660191264,0.9664160401002507,0.75,0.6
0,Musk2,3,6,124.86977226706222,0.7834586466165413,0.7083333333333334,0.7
0,Musk2,3,7,397.71646314894315,0.7197994987468672,0.7083333333333334,0.5
0,Musk2,3,8,184.35472299705725,0.7203007518796993,0.6666666666666667,0.6
0,Musk2,3,9,120.55746930302121,0.7714285714285715,0.7083333333333334,0.5
0,Musk2,3,10,169.60725473600905,0.78125,0.7619047619047619,0.7
0,Musk2,4,1,339.9662071749335,0.6979591836734694,0.9285714285714286,0.8181818181818182
0,Musk2,4,2,238.57819939800538,0.814795918367347,0.4285714285714286,0.6363636363636364
0,Musk2,4,3,182.9377714120783,0.7107769423558897,0.875,0.7
0,Musk2,4,4,97.65764220803976,0.8075187969924812,0.6666666666666667,0.6
0,Musk2,4,5,412.3019353749696,0.7859649122807018,0.8333333333333334,0.6
0,Musk2,4,6,527.223618419026,0.744360902255639,0.5833333333333334,0.5
0,Musk2,4,7,115.31424032791983,0.7734335839598998,0.6666666666666667,0.5
0,Musk2,4,8,167.4932861959096,0.8275689223057644,0.7083333333333334,0.7
0,Musk2,4,9,91.81074345309753,0.7914786967418546,0.7916666666666667,0.6
0,Musk2,4,10,136.50315512891393,0.7410714285714286,0.9523809523809524,0.9
0,Musk2,5,1,426.8326124990126,0.7413265306122448,0.7142857142857143,0.6363636363636364
0,Musk2,5,2,543.5513789299875,0.7045918367346938,0.8928571428571429,0.7272727272727273
0,Musk2,5,3,162.36992236203514,0.7879699248120301,1.0,0.7
0,Musk2,5,4,116.6991502820747,0.7518796992481203,0.875,0.7
0,Musk2,5,5,297.0141768109752,0.7172932330827069,0.5833333333333333,0.7
0,Musk2,5,6,178.81676222698297,0.7578947368421052,0.8333333333333334,0.7
0,Musk2,5,7,387.1877887970768,0.7218045112781954,0.5833333333333334,0.6
0,Musk2,5,8,332.0367942180019,0.7328320802005013,0.9583333333333334,0.6
0,Musk2,5,9,81.23872844397556,0.7969924812030075,0.6666666666666666,0.6
0,Musk2,5,10,123.05479355703574,0.8308531746031746,0.19047619047619047,0.7
0,Musk2,Average,Average,240.06838117293782,0.7781423648406731,0.7267857142857143,0.6507272727272728
0,CorelAntique,1,1,639.9114808639279,0.7985120207927225,0.7836842105263158,0.95
0,CorelAntique,1,2,446.8982156800339,0.7920012995451592,0.77,0.95
0,CorelAntique,1,3,248.28085049893707,0.7996166341780377,0.7210526315789474,0.95
0,CorelAntique,1,4,157.92442078399472,0.8034437946718649,0.7915789473684212,0.95
0,CorelAntique,1,5,217.83160247607157,0.7933203378817414,0.7042105263157895,0.95
0,CorelAntique,1,6,224.69908545503858,0.7914554905782976,0.841578947368421,0.95
0,CorelAntique,1,7,224.3550951560028,0.7914749837556855,0.8200000000000001,0.95
0,CorelAntique,1,8,283.4646973280469,0.782053281351527,0.8278947368421052,0.95
0,CorelAntique,1,9,293.87829701195005,0.8023586744639376,0.7978947368421052,0.95
0,CorelAntique,1,10,274.5068218370434,0.7893892137751787,0.8042105263157895,0.95
0,CorelAntique,2,1,314.3996162879048,0.7894736842105263,0.6894736842105263,0.95
0,CorelAntique,2,2,189.90297510591336,0.7936712150747238,0.8073684210526316,0.95
0,CorelAntique,2,3,231.43703856098,0.7988434048083172,0.8136842105263158,0.95
0,CorelAntique,2,4,279.5792551430641,0.7958739441195581,0.7157894736842105,0.95
0,CorelAntique,2,5,655.2041035679867,0.7943794671864847,0.8331578947368421,0.95
0,CorelAntique,2,6,162.61717381398194,0.7935152696556205,0.7463157894736843,0.95
0,CorelAntique,2,7,428.2555337329395,0.8004028589993502,0.7605263157894737,0.95
0,CorelAntique,2,8,298.1097516929731,0.8058284600389862,0.8021052631578948,0.95
0,CorelAntique,2,9,256.13931578805204,0.7896491228070175,0.861578947368421,0.95
0,CorelAntique,2,10,279.39440336602274,0.7917024041585445,0.7642105263157895,0.95
0,CorelAntique,3,1,297.2140885939589,0.8002923976608187,0.7563157894736843,0.95
0,CorelAntique,3,2,373.00611969002057,0.7870760233918128,0.8173684210526316,0.95
0,CorelAntique,3,3,282.52428102400154,0.7915074723846653,0.8315789473684211,0.95
0,CorelAntique,3,4,358.4113335290458,0.7917803768680961,0.7647368421052632,0.95
0,CorelAntique,3,5,257.30226946098264,0.7960428849902534,0.7757894736842106,0.95
0,CorelAntique,3,6,352.4555336108897,0.7882261208576998,0.7826315789473685,0.95
0,CorelAntique,3,7,377.14771942200605,0.7772449642625081,0.8447368421052632,0.95
0,CorelAntique,3,8,292.13638080097735,0.7976478232618583,0.7505263157894737,0.95
